분류,메시지
스팸메일,SMS.ac 스포츠TV: 뉴저지 데블스 vs 디트로이트 레드윙스 아이스하키. 정답/오답? 종료하려면 END SPTV 회신.
정상메일,말리카 셰라왓이 어제 뭐 했는지 알아? 지금 확인해봐 @ <링크>
스팸메일,축하합니다! 2인 1년 특별 영화 패스 당첨. 스타워즈3 등 무료! 150p/문자. 놓치지 마세요!
정상메일,"미안, 회의 중이라 나중에 전화할게."
정상메일,지금 어디쯤 도착했는지 알려줘.
정상메일,응… 가우티랑 세와그가 ODI 시리즈에서 빠졌대.
정상메일,집에 오는 길에 1달러 버거 하나 사와야 할 것 같아. 나 몸이 안 움직여. 너무 아파.
정상메일,ㅋㅋ 농담 좋네. 여자들은 상황을 보는 법.
정상메일,그건 IQ 검사 과정의 일부야.
정상메일,"미안, 룸메들이 너무 오래 걸렸어. 지금 가도 될까?"
정상메일,"오키, 미용사한테 다시 확인했어. 너무 짧게 안 자른대. 보기 좋을 때까지만 자른다더라."
스팸메일,"소중한 고객님, 축하드립니다. 고객번호로 £1500 보너스 경품이 배정되었습니다. 09066364589로 전화."
정상메일,오늘은 ‘노래 바치는 날’이래… 나한테 어떤 노래 바칠 거야? 이 문자 친구들에게도 보내고 먼저 나한테 답장해줘.
스팸메일,"긴급: 유로디스니 무료 여행 당첨! 87121로 DIS 전송. 18+, 추가요금 가능."
스팸메일,새로 나온 ‘이혼 바비’ 들었어? 켄의 물건을 전부 들고 나온대!
정상메일,이달 말에 줄 계획이야.
정상메일,"와, 운 좋다… 그럼 돈 아끼겠네… 헤헤…"
정상메일,수업 끝났어. 어디야?
정상메일,자기야 나 지금 집이야. 뭐 할까? xx
정상메일,오케오케 :) 어디야? 공연/시험 어땠어?
정상메일,지금 전화해도 돼…
정상메일,"나 기다리고 있어, 친구야. 시간 나면 전화해."
정상메일,좋지. 난 젠틀맨이고 너를 존중할게.
정상메일,난 너희 정말 좋아 :) 근데 내가 엄청 수줍어.
정상메일,"<번호> 이후에는 작동 안 하는 거야, 뭐야?"
정상메일,여긴 상황이 달라. 아직 일 찾는 중이야. 거기서 TA는 얼마나 받아?
정상메일,"미안, 나중에 전화할게."
정상메일,오케이. 방금 나한테 전화했어?
정상메일,"오케이, 집 가는 중이야 히히."
정상메일,네가 그 사람 자리로 가게 될 거야.
정상메일,"응, 다음 정류장이야."
정상메일,신호가 안 터져서 나중에 전화할게. 급하면 문자해.
정상메일,진짜 언제 출발해? 표 두 장이랑 자켓 하나만 더 있으면 끝이야. 멀티는 다 써버렸고.
정상메일,"응, 신청 보내기 시작했는데 아파서 잠깐 멈췄어… 공장에서는 코인 두 배고, 니트로도 다 현금화해야 해."
정상메일,"자기야, 오늘 밤은 아직 무리야."
정상메일,"친구야, 내가 내려받아둘게. 시간 될 때 와."
정상메일,응 해! 근데 너무 가까이 서지 마—뭐 옮을 수도 있어!
정상메일,번거롭게 해서 미안해. 다른 날 만나도 될까? 내일 제출할 것들이 너무 많아.
정상메일,"기쁠 때도, 아플 때도 미소 지어. 누가 널 아프게 해도, 널 보고 웃는 걸 좋아하는 사람이 있으니까!"
스팸메일,고객센터 0800…(10am-9pm)로 전화하세요. £1000 현금 또는 £5000 경품 보장 당첨!
정상메일,나중에 살 생각은 없어. 이미 확인했는데 리도는 오후에 5:30 상영만 있대. 너 일 끝났어?
스팸메일,"무료 벨소리가 기다립니다. 간단히 등록하고 확인하세요. 어셔, 브리트니도 있어요. 주 450p, 16세 이상."
정상메일,텔루구 영화 보는 중… 너는?
정상메일,그렇구나. 끝나고 나면 갚을 대출이 산더미네.
정상메일,"안녕. 한 주 괜찮았어—지금 휴가 중! 잠깐 마실 생각인데, 집에 가서 샤워 먼저 해야 해. 괜찮아?"
정상메일,커피잔 애니메이션이 보여.
정상메일,더 이상 문자 보내지 마. 할 말 없어.
정상메일,"좋아, 합법적이기만 하면 네가 가격 정해. 언제 가지러 가면 돼? 시험 때문에 시간이 없어."
정상메일,아직 차 알아보는 중이야. 운전면허 시험도 아직 못 봤고.
정상메일,요청하신 ‘Melle Melle(…)’를 모든 발신자 통화연결음으로 설정. *9로 친구 컬러튠 복사.
정상메일,"와, 네 말이 맞아! 그럴 생각은 아니었는데… 뭔가 바뀌었나 봐. 내 로그인 페이지엔 아직 보스턴으로 떠."
정상메일,"엄마, 내 삶이고 바바, 엄마 많이 사랑해요."
정상메일,생일 축하해줘서 정말 고마워. 덕분에 정말 특별한 하루였어.
정상메일,"오케이, 돈 좀 생기면 연락할게."
정상메일,내 IP 주소로 그걸 어떻게 테스트해? 내 컴퓨터는 마인크래프트 서버가 아닌데.
정상메일,"맞아! 까칠한 어른들… 엄마가 거짓말하지 말래. 뭐, 내가 늘 장난치는 사람이긴 하지만…"
정상메일,걱정 마. 아마 바쁜가 봐.
정상메일,‘research’의 복수형이 뭐야?
정상메일,저녁 먹으러 가. 끝나고 문자할게.
정상메일,"난 괜찮아, 새로운 걸 시도하는 걸 좋아하거든. 다만 네가 싫어할까 봐 걱정돼. 너무 시끄럽진 않게 하자고 했잖아."
스팸메일,"고객님! 지난 주말 추첨 결과 연락드리려 했습니다—보장된 상금. 09064012160으로 전화, 코드 K52. 12시간 유효. 분당 150p."
정상메일,"와, 첫 문장 완전 정중하네… 어쨌든 난 잘 지내. 너무 많이 먹어서 살찌는 중 ㅋㅋ 특별한 일 있었어?"
정상메일,"내 방에 들어가자 비서가 ‘생일 축하해요, 보스’라고 했어. 점심 먹고 그녀의 아파트에 초대받아 같이 갔지."
스팸메일,"당첨되셨습니다! 특별히 선정되어 경품을 받으실 수 있어요. 상담원과 통화해 수령하세요 0871277810 (분당 10p, 18+)."
정상메일,좋아! 금요일에 꼭 얘기하자—또르티야에 달걀:감자 비율 필요!
정상메일,음… 삼촌이 학교에 바로 돈을 낸대. 그러니 음식은 네가 사줘.
스팸메일,"개인 통지! 2004년 계정 명세서—보너스 포인트. 08719180248로 전화, 코드 45239, 유효기간 있음."
스팸메일,긴급! 귀하의 번호가 £2000 보너스에 선정되었습니다. 유선에서 09064019788로 전화. BOX42… 분당 150p.
정상메일,내 새 주소야—말도 안 되는 말장난(사과&배)까지 포함해서.
스팸메일,"오늘의 보다폰 행운번호(끝자리 7548) 당첨! 08712300220으로 전화, 코드 4041, 표준요금 적용."
정상메일,오늘 사오무에 가. 12시쯤에야 끝날 듯.
정상메일,내가 몇 시에 쇼핑 끝낼지 예상해봐?
정상메일,"좋네, 그렇게 할게."
정상메일,"알려두자면, 예툰데가 아직 돈을 안 보냈어. 처음부터 너한테 뭐라 한 적 없으니 그건 미안."
정상메일,방에 있어?
정상메일,"헤이 걸, 잘 지내? 우리 다시 돌아왔어! 오래 못 봤네. 시간 되면 전화 줘. —루시 xx"
정상메일,오케오케 :) 비용이 얼마나 들어?
정상메일,나 집 도착했어.
정상메일,"자기야, 내일 전화할게. 일정 좀 맞춰줘."
정상메일,먼저 내 질문부터 답해.
스팸메일,선샤인 퀴즈 주간 문제! 상급 소니 DVD 플레이어 당첨 기회. 알가르브가 어느 나라에 있죠? 82277로 답장(£1.50).
스팸메일,"오늘 밤 즐기고 싶어? 실제 도깅 장소 정보—GRAVEL을 69888로 문자! 성인 전용. 31p/문자, 최대 £1.50."
정상메일,나 MSN만 있어. 주소는 yijue@hotmail.com
정상메일,그 사람 거기 있어. 전화해서 만나.
정상메일,아니아니. 활동 전에 모든 방 확인할게.
스팸메일,채팅 서비스 문자를 더 이상 받지 않으려면 STOP 회신. 아무것도 안 오면 통신사 연령 인증 필요.
정상메일,‘c’ 받았어… 타이핑 귀찮… 강의에서 ‘체’를 까먹었고… 파우치 봤는데 별로였어…
정상메일,"오케이, 오는 길에 문자 줘."
정상메일,"선생님, 메일 기다리고 있습니다."
정상메일,달콤한 생각: 작은 일에 지치지 마세요. 누군가에게는 그 작은 일이 마음의 가장 큰 부분을 채웁니다. 잘 자요.
정상메일,네가 그런 거 알아. 뒤쪽 좀 열어줄래?
정상메일,"응, 딱 맞춰는 못 갈 듯. 이따 봐."
정상메일,우리 수업 맡은 직원(강사) 이름이 뭐야?
스팸메일,무료문자: 왜 답장을 안 해? 난 랜디야—널 기억나. 지금 바로 문자 줘. Netcollex Ltd. 회신 STOP으로 종료. (£0.50/문자)
정상메일,"엄마, 체크인 후 전화할게. 우리의 새 삶은 카타르에서 시작돼. 많이 기도해줘."
